Label,Memo,clean_text,Source_Race,ts
5,,페라리 업뎃해서 그런가 타이어 소모 빨라졌네 ㅇㅇ,Monza,2024-09-01 22:22:33
1,,몇번 움직이노 싸가놈 ㅋㅋㅋㅋ,Belgium,2024-07-28 22:48:22
1,,병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Monza,2024-09-01 22:24:12
4,,패배를 인정합니노 파파야단 개같이 패배,Monza,2024-09-01 23:20:27
3,,모나코 몬짜 씨발 아 미친새끼야 ㅋㅋㅋㅋㅋㅋㅋㅋ,Monza,2024-09-01 23:10:09
3,,근데 Mr.폴투3은 진짜 과학이네 ㅋㅋㅋㅋ 이렇게 첫랩 조지는건 감탄이 나온다 ㅋㅋㅋㅋ,Monza,2024-09-01 23:59:39
3,,레드불: RB11 복귀 ㅊㅊ,Monza,2024-09-01 23:36:04
2,,르끌 ㅈㅂㅈㅂㅈㅂㅈㅂ,Monza,2024-09-01 23:16:20
2,,진짜 존나 쫄리네ㅋㅋㅋㅋ,Monza,2024-09-01 23:13:23
4,,피아제 우승인줄 알았는 생각이 짧았다 ㅠㅠ 진짜 안들어올 줄 몰랐음,Monza,2024-09-01 23:16:04
0,,핏스탑 씨발 진짜,Belgium,2024-07-28 22:50:37
3,,대 쥬 지 ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Monza,2024-09-01 22:58:21
0,,신라리 ㅋㅋ Joat,Monza,2024-09-01 22:28:11
5,,노리스 랩타임저거뭐냐 뭔일벌어지고있는거야,Monza,2024-09-01 22:47:55
0,,오늘자 병신들 피아제한테 강간당하고 또 포인트 날려먹은 새끼 그냥 좆망 체코랑 다를게 없는 새끼 ㅋㅋ,Monza,2024-09-01 23:26:39
4,,2주나남앗네 시발 ㅜㅜ ㅠㅠ,Monza,2024-09-01 23:46:38
1,,병신은 어제 Q1딱하는게 더 도움됐을듯 ㄹㅇ,Belgium,2024-07-28 22:44:33
1,,러셀 망했네 ㅋㅋ,Monza,2024-09-01 22:04:38
5,,이건 진짜 폭동직전이다 ㅋㅋㅋㅋㅋ 와 ㄹㅇ,Monza,2024-09-01 23:16:12
2,,르끌럭아 좀만 더 버텨다오,Belgium,2024-07-28 23:21:06
3,,대 르 끌 황 라 리 ㄷㄷㄷ 미쳤다 ㅋㅋㅋ캬,Monza,2024-09-01 23:18:13
0,,아직까지는 끝난거 아니라고 씨발들아 좀 참아봐 당장 한달전에 이거 나왔는데 설레발 안집어넣냐? - ORACLE RED BULL RACING RB20,Monza,2024-09-01 23:12:59
1,,은근 노잼아니냐 배틀 어디갔냐고오,Belgium,2024-07-28 22:15:42
1,,요새 왜이리 셉카 안나오냐 변수가 없네,Belgium,2024-07-28 22:58:01
0,,몽골 또 페레즈 뒤네 씨~발ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Belgium,2024-07-28 22:56:26
3,,티 포즈 가자ㅏㅏㅏㅏㅏㅏㅏ ㅋㅋㅋㅋ,Belgium,2024-07-28 23:23:41
1,,페이크 원스탑 전략 뭐냐대체 ㅋㅋ,Monza,2024-09-01 23:23:00
3,,캐나다부터 봤는데 진짜 매경기 꿀잼이었다,Belgium,2024-07-28 23:56:06
5,,보타스 와 저기 있노 알핀은 왜...,Belgium,2024-07-28 23:07:38
4,,르끌 4위면 그래도? 포디엄 못든게 아쉽긴 한데 걍 지금 차 성능 차이 보단 더 나은 결과 같아서 불만은 없음,Belgium,2024-07-28 23:40:14
3,,추월의 신 체코 숭배하라,Monza,2024-09-01 22:19:03
1,,막징징 온,Monza,2024-09-01 22:05:56
3,,쥬지 지린다 ㅋㅋㅋㄱㄱ,Belgium,2024-07-28 23:21:14
3,,토토 씨익 ㅋㅋㅋㅋㅋㅋ,Belgium,2024-07-28 23:28:58
0,,에휴 ^개자식^아,Belgium,2024-07-28 23:14:50
2,,근데 르끌 저거 타이어 버틸 수 있나? 페이스 유지하면서 달리면 안될 거 같은데,Monza,2024-09-01 23:08:26
3,,스파의 제왕 몽골~ ㅋㅋ,Belgium,2024-07-28 23:12:29
3,,누리스 추월 드가자^,Belgium,2024-07-28 23:12:03
0,,오늘 걍 핏크루 줄빠따 가야겠노ㅋㅋ,Monza,2024-09-01 22:51:58
2,,르끌 르끌 르끌 르끌 노미끌 제발,Monza,2024-09-01 23:14:06
3,,이번 시즌은 ㄹㅇ 개재밌네 ㅇㅇㅇㅇ,Belgium,2024-07-28 23:42:33
3,,대쥬지 ㅋㅋㅋㅋㅋ 미쳣노그냑ㅋㅌㅌ,Belgium,2024-07-28 23:23:24
3,,GOAT,Monza,2024-09-01 22:18:57
1,,트로피야 누룽지야 ㅋㅋ ㅋㅋ,Monza,2024-09-01 23:39:31
5,,벨기에 속도감 지리네 - dc official App,Belgium,2024-07-28 22:11:13
3,,대 체 코 ㅋㅋ,Belgium,2024-07-28 22:04:57
1,,징징이 체코핑계 ㅋㅋㅋ 다른차 엿으면 추월가능?,Belgium,2024-07-28 22:40:12
3,,노리스 따잇ㅋㅋㅋㅋ ㅋㅋㅋㅋ,Monza,2024-09-01 22:04:50
3,,왕자님개잘생겼네진짜 내년 기대된다,Monza,2024-09-01 23:25:18
3,,티포시의 주말? ㅋㅋㅋㅋㅋㅋㅋ날아간다,Monza,2024-09-01 23:24:48
4,,오늘은 진짜 르끌이 1위하나 기대했는데 기대한 내가 바보였네..ㅠ 포디움만이라도 지켜주길??,Belgium,2024-07-28 22:19:39
0,,에휴 병신,Belgium,2024-07-28 23:00:12
5,,아니 피아스트리도 피아스트린데 러셀 미친놈이네 ㄹㅇ 이거를 ㅋㅋㅋㅋ,Belgium,2024-07-28 23:21:41
3,,대물탕 ㅋㅋㅋㅋㅋㅋㅋ,Belgium,2024-07-28 22:08:39
1,,ㅋㅋ 오늘 피트크루 다같이 취했냐? ㅋㅋ 다늦네,Monza,2024-09-01 22:52:02
1,,스왑해 병신아ㅋㅋㅋㅋㅋㅋㅋㅋ,Belgium,2024-07-28 22:42:13
5,,와 진짜로? 이게된다고? 거짓말하지마 ㅋㅋㅋ,Monza,2024-09-01 23:06:17
4,,싸인지 ㅠㅜㅡㅡㅡㅡㅜㅜㅜ ,Monza,2024-09-01 23:11:00
0,,개빡치네 씨발 저걸 쳐발리네 맥 씨발현들,Monza,2024-09-01 23:17:31
3,,대황끌 캬ㅑㅑㅑㅑㅑㅑㅓ,Monza,2024-09-01 23:18:58
0,,언더컷을 생각없이 쳐하네 진짜 페라리 팬한거 후회한다 아 진짜 매번 이지랄이네,Belgium,2024-07-28 23:37:21
0,,하드하드는 씨발 누구 발상이냐??? 뭐 씨발 역대급 위닝카라도 타고있는줄 알고있나??,Monza,2024-09-01 22:42:46
1,,파파야룰 ㅋㅋㅋㅋ ㅋㅋㅋ,Monza,2024-09-01 22:36:34
0,,르끌 븅쉰 이네 내년에 해물탕 뒷처리나 해라 ㅋㅋㅋ,Belgium,2024-07-28 23:37:38
3,,아까 오프닝 국가 엔딩때 또 듣는다는놈 누구냐 칭찬해,Monza,2024-09-01 23:26:19
1,,노짱 씹년 왕따냐? 아으 존나 꽁해있네 르끌이랑 피아제한테 시원하게 좀 쏴줘라,Monza,2024-09-01 23:40:40
5,,피아제 생각보다 못 따라가네,Monza,2024-09-01 23:17:07
3,,이궈궈던ㅋㅋㅋㅋ ㅋㅋ,Monza,2024-09-01 22:36:02
1,,체코 쟤는 짤리겠다 ㅋㅋ,Belgium,2024-07-28 23:12:40
3,,시발 쥬지 빨만하다 했제 아 도파민 존나도네,Austria,2024-06-30 23:47:59
5,,웅남이 14위 됐네,Austria,2024-06-30 23:49:21
0,,걍쳐박아버리노씨발ㅋㅋㅋㅋ,China,2024-04-21 16:54:04
1,,오늘자 병신 어 형은 1등차 타고 하스한테 따였어,Austria,2024-06-30 23:31:34
1,,기습병신 ㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:28:44
5,,오 딸깍없이 추월 ㅋㅋ ㅋㅋ,China,2024-04-21 16:11:43
3,,재밌다 ㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:06:24
0,,개트롤 뭐해시발 비켜 비켜,Austria,2024-06-30 23:09:32
0,,세카입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅅㅂ,China,2024-04-21 16:44:09
5,,1.9 2.0 ㅅㅂㅋㅋ 더블 3.9,China,2024-04-21 16:45:06
3,,쥬지 요즘 꾸준히 잘해서 함 우승할까 했는데 바로 해버리네 ㄹㅇ굿!!,Austria,2024-06-30 23:37:00
3,,개꿀잼레이스노 ㅋㅋ,China,2024-04-21 16:53:39
5,,대련놈 우주방어ㅋㅋㅋㅋ ㅋㅋㅋㅋ,China,2024-04-21 16:40:20
0,,씨발뭐냐?,Austria,2024-06-30 23:04:10
0,,뭐하노 ㅅㅂ,China,2024-04-21 16:42:57
4,,르끌 포인트는 못먹었네 아쉽노,Austria,2024-06-30 23:27:29
3,,황끌 부활 ㅋㅋㅋㅋ,China,2024-04-21 16:40:24
1,,10초 뭐노 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 17:07:24
3,,중국 GP <<<<<< 꿀잼 ㅎㅎ,China,2024-04-21 16:53:34
4,,르끌 ㅠㅠ,Austria,2024-06-30 22:04:56
1,,운영꼬라지 ㅋㅋㅋㅋㅋ 이게뭐냐,China,2024-04-21 16:44:19
3,,레드불 팬인 내가 존나 신나는 이유 트리플헤더<<걍 뽀뽀 마려움ㅋㅋㅋ,Austria,2024-06-30 23:57:49
3,,조지러셀 우승 ㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:19:28
3,,노리스 리타해서 기분좋은 티포시들은 개추 ㅋㅋ 컨챔 경쟁 ㅈ박을뻔했는데 막스가 살렸노 휴~,Austria,2024-06-30 23:29:17
1,,가지가지하는구나,China,2024-04-21 16:28:24
3,,차박이 퇴출 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ,China,2024-04-21 16:58:25
0,,보타스씨발 리타이어야? 씨발 자우버 씨발,China,2024-04-21 16:50:13
4,,"피아야 제발 노리스 5초 취소 해줘라,, 넘 슬프다 다음 레이스 페널티까지 받으면,, “ㅇㅅㅁㅅ”",Austria,2024-06-30 23:36:48
3,,대트롤 ㅋㅋㅋㅋㅋ,Austria,2024-06-30 22:59:07
5,,큰일날뻔 ㅋㅋ ㅋㅋ,Austria,2024-06-30 22:52:51
3,,아니 노리스 따라잡히는데 ㅋㅋㅋ ㅋㅋㅋㅋ,China,2024-04-21 16:34:29
3,,입모양 ‘0’하고 웃으면서 달리는 쥬지면 개추ㅋㅋ,Austria,2024-06-30 23:24:06
3,,막스 스타트좋노 ㅋㅋ,China,2024-04-21 16:04:20
3,,갓 세이브 더 킹 ㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:43:18
3,,P2! 우오!우오!우오!,China,2024-04-21 17:47:16
0,,알핀 팬 나말고 없냐 씨발,Austria,2024-06-30 22:48:28
0,,짱깨새끼들 개역겹네ㅡ씨발 그만 좀 해라,China,2024-04-21 17:51:17
1,,누리스 잘가라노 ㅋㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:15:56
4,,RB 더블리타 존나 불쌍하네 둘 다 어뢰당하고 더블리타 엔딩,China,2024-04-21 17:14:46
0,,막가놈 다음경기애서 사고나서 뒤지길 비라면 추천눌러라 더러운놈은 사라져야한다,Austria,2024-06-30 23:27:27
1,,어이가없네 씨발 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 16:44:35
1,,ㅋㅋㅋㅋㅋㅋ좆밀턴ㅋㅋㅋㅋ안되넼ㅋㅋㅋ ㅋㅋㅋㅋㅋㄹㅇ,China,2024-04-21 17:19:17
1,,어유 찡찡탕 ㅅㅂ,China,2024-04-21 16:46:37
5,,뭐하노?,Austria,2024-06-30 23:18:37
3,,[오피셜] 막스 우승,Austria,2024-06-30 22:05:47
1,,알핀보다 느려요 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ,China,2024-04-21 16:31:55
4,,르끌 그래도 잘 올라왔는데 한걸음 아쉽다 아오 이새끼는 모나코에서 올해 운 다썻냐,Austria,2024-06-30 23:31:05
3,,피아스트리 포디움각 떴다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:20:28
5,,하스 뭔대 빠름? 올해의 하스는 다르냐?,China,2024-04-21 17:19:30
5,,스트롤 리타임?ㅋㅋ,China,2024-04-21 16:52:59
5,,둘다? 뭐임,Austria,2024-06-30 23:18:52
5,,해밀턴은 왜 피아스트리 못 넘어감? 피아스트리는 차 손상때문에 페이스 엄청 떨어진거 같은데,China,2024-04-21 17:44:34
3,,오늘 경기 마지막 도파민 지리네 ㅋㅋㅋㅋ ㅋㅋㅋㅋ,Austria,2024-06-30 23:29:40
3,,첫 우승 가자 진짜 가능,Austria,2024-06-30 23:20:56
0,,아오 좃노다 십새야,China,2024-04-21 16:24:34
0,,15랩 4초도 아니고 5랩에서 거의 4초네 미친년이 아,China,2024-04-21 16:11:26
0,,물탕이 하드 낀 하스한테 패배 ㅋㅋㅋㅋ 좆라리 새끼들아,China,2024-04-21 16:07:36
1,,알본아 막지마라,Austria,2024-06-30 22:20:06
5,,?? 십ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 17:34:13
3,,알바오 기여오ㅠㅠㅠㅠ,China,2024-04-21 17:00:38
3,,아 시벌 잠이 확 깨네 ㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:22:14
3,,어부지리 씨발 ㅋㅋㅋㅋ,Austria,2024-06-30 23:19:37
2,,쥬지야 미디움 그거 맞냐? 너 ㅈ된거 같은데,Austria,2024-06-30 22:43:54
3,,보딱스 갓맙다.. ㄹㅇ,China,2024-04-21 16:40:49
1,,상습 병신 ㅋㅋㅋㅋㅋㅋ,China,2024-04-21 16:28:15
1,,체코 좆병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 22:39:53
4,,시발 내가 빨기 시작하자마자 개처박는 건 내가 암흑기운인거지,Austria,2024-06-30 22:07:40
1,,그새끼 반성도 안하네 ㅋㅋㅋㅋㅋㅋ 병신ㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:39:34
4,,속보 엪버거 증발 개좆핀 더블 포인트 실패,Austria,2024-06-30 23:29:50
4,,진짜 개좆핀 ㅅㅂㅋㅋㅋㅋ 암담하노,China,2024-04-21 16:28:15
0,,저거도 씨발 패널티 주지 그러냐 마피아새끼들아??,China,2024-04-21 16:54:41
1,,관우년 스프린트에선 좋았잖아 그럼 그렇지 ㅋㅋ한잔해,China,2024-04-21 16:10:58
0,,진짜 지랄하지마 하 시발 ㅋㅋㅋ,Austria,2024-06-30 23:20:12
3,,그와중에 알황 패랩따고 막스 1포 뻇은게 킹꿀잼이네ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이번시즌이 제일 재밌어,Austria,2024-06-30 23:38:05
1,,좆밥들끼리 뭐하노 ㅋㅋㅋ,China,2024-04-21 17:37:27
1,,19랩에 멈췄는데 언제까지 세카하노 ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ ㄹㅇ,China,2024-04-21 16:48:15
2,,가슬리견 너무 두렵다 씨발;;,Austria,2024-06-30 22:47:59
1,,이번에 유입한 레드불팬인데 오늘 막스 좀 실망했음 본인이 막아놓고 인정 못하는거 좀 추하더라 스포츠맨십이 없는거 같음 인성은 최하위권이라고 멜세 티포시팬들이 그럴때 못이겨서 그런소리 하는거라고 생각했는데 직접 확인하니까 실망스럽네,Austria,2024-06-30 23:55:29
3,,막판에 확 재밌어지네 ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 17:31:09
5,,진짜 알론소 연륜 지리네 이걸 3스탑을 성공하나;;,China,2024-04-21 17:28:12
5,,몽골존나빠르노 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,Austria,2024-06-30 22:04:24
0,,오콘 패널티 먹어야겠지 ㅋㅋㅋㅋㅋㅋㅋ - 天上天下 唯我獨尊의 호로고아 씨부랄 JOAT 알핀 F1팀,China,2024-04-21 16:08:23
0,,이 병신년은 걍 인간 저주임,Austria,2024-06-30 23:59:12
1,,체코는 뭐하노 시발,Austria,2024-06-30 23:28:33
5,,르끌 키미행동 뭐노 ㅋㅋㅋ,China,2024-04-21 17:03:36
1,,비 왜 안내리냐고 스프린트 퀄리때 내린 비가 오늘 왔어야해,China,2024-04-21 17:29:33
3,,데브리에 타이어 터지면 개꿀잼일텐데 ㅋㅋ,China,2024-04-21 17:43:10
3,,토토 실실쪼갸네 ㅋㅋㅌㅌ ㅋㅋㅋ,Austria,2024-06-30 23:25:50
5,,1.9 뭔데 ㄷㄷ 오매,China,2024-04-21 16:44:51
3,,서로 한번씩 담구노 ㅋㅋㅋㅋ 쥬지 사인지 싱글벙글행ㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:19:07
3,,대황끌ㅋㅋㅋㅋ 캬ㅑㅑ,China,2024-04-21 16:18:23
3,,그냥 눈물이 나오는 물탕이면 개추ㅋㅋ ㅋㅋㅋ,Austria,2024-06-30 23:44:27
3,,간만에 포듐!!!,Austria,2024-06-30 23:42:35
5,,세카 오늘 자주본다?,China,2024-04-21 16:55:15
2,,제발펑쳐제발펑쳐,China,2024-04-21 17:43:01
5,,점마는 왜 특별석이고ㅋㅋ,China,2024-04-21 17:49:49
4,,도련님이ㅅㅂ...이... 알국왕 앞에서 개고생하고 계시는데 님...........,China,2024-04-21 16:54:59
5,,틀딱 패랩ㅋㅋㅋㅋ ㅋㅋㅋㅋ,Austria,2024-06-30 23:29:11
0,,몽골은 2019 사건떄문에 자신이있는거임 레드불링에서는 저래도 봐주니까 again 2019 해버린거지 시발새끼 ㅋㅋㅋ,Austria,2024-06-30 23:41:36
1,,르끌은 왜케 못따라가노,China,2024-04-21 17:08:49
