Label,Memo,clean_text,Source_Race,ts
4,,RB 더블리타 존나 불쌍하네 둘 다 어뢰당하고 더블리타 엔딩,China,2024-04-21 17:14:46
0,,막가놈 다음경기애서 사고나서 뒤지길 비라면 추천눌러라 더러운놈은 사라져야한다,Austria,2024-06-30 23:27:27
1,,어이가없네 씨발 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 16:44:35
1,,ㅋㅋㅋㅋㅋㅋ좆밀턴ㅋㅋㅋㅋ안되넼ㅋㅋㅋ ㅋㅋㅋㅋㅋㄹㅇ,China,2024-04-21 17:19:17
1,,어유 찡찡탕 ㅅㅂ,China,2024-04-21 16:46:37
5,,뭐하노?,Austria,2024-06-30 23:18:37
3,,[오피셜] 막스 우승,Austria,2024-06-30 22:05:47
1,,알핀보다 느려요 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ,China,2024-04-21 16:31:55
4,,르끌 그래도 잘 올라왔는데 한걸음 아쉽다 아오 이새끼는 모나코에서 올해 운 다썻냐,Austria,2024-06-30 23:31:05
3,,피아스트리 포디움각 떴다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:20:28
5,,하스 뭔대 빠름? 올해의 하스는 다르냐?,China,2024-04-21 17:19:30
5,,스트롤 리타임?ㅋㅋ,China,2024-04-21 16:52:59
5,,둘다? 뭐임,Austria,2024-06-30 23:18:52
5,,해밀턴은 왜 피아스트리 못 넘어감? 피아스트리는 차 손상때문에 페이스 엄청 떨어진거 같은데,China,2024-04-21 17:44:34
3,,오늘 경기 마지막 도파민 지리네 ㅋㅋㅋㅋ ㅋㅋㅋㅋ,Austria,2024-06-30 23:29:40
3,,첫 우승 가자 진짜 가능,Austria,2024-06-30 23:20:56
0,,아오 좃노다 십새야,China,2024-04-21 16:24:34
0,,15랩 4초도 아니고 5랩에서 거의 4초네 미친년이 아,China,2024-04-21 16:11:26
0,,물탕이 하드 낀 하스한테 패배 ㅋㅋㅋㅋ 좆라리 새끼들아,China,2024-04-21 16:07:36
1,,알본아 막지마라,Austria,2024-06-30 22:20:06
5,,?? 십ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 17:34:13
3,,알바오 기여오ㅠㅠㅠㅠ,China,2024-04-21 17:00:38
3,,아 시벌 잠이 확 깨네 ㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:22:14
3,,어부지리 씨발 ㅋㅋㅋㅋ,Austria,2024-06-30 23:19:37
2,,쥬지야 미디움 그거 맞냐? 너 ㅈ된거 같은데,Austria,2024-06-30 22:43:54
3,,보딱스 갓맙다.. ㄹㅇ,China,2024-04-21 16:40:49
1,,상습 병신 ㅋㅋㅋㅋㅋㅋ,China,2024-04-21 16:28:15
1,,체코 좆병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 22:39:53
4,,시발 내가 빨기 시작하자마자 개처박는 건 내가 암흑기운인거지,Austria,2024-06-30 22:07:40
1,,그새끼 반성도 안하네 ㅋㅋㅋㅋㅋㅋ 병신ㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:39:34
4,,속보 엪버거 증발 개좆핀 더블 포인트 실패,Austria,2024-06-30 23:29:50
4,,진짜 개좆핀 ㅅㅂㅋㅋㅋㅋ 암담하노,China,2024-04-21 16:28:15
0,,저거도 씨발 패널티 주지 그러냐 마피아새끼들아??,China,2024-04-21 16:54:41
1,,관우년 스프린트에선 좋았잖아 그럼 그렇지 ㅋㅋ한잔해,China,2024-04-21 16:10:58
0,,진짜 지랄하지마 하 시발 ㅋㅋㅋ,Austria,2024-06-30 23:20:12
3,,그와중에 알황 패랩따고 막스 1포 뻇은게 킹꿀잼이네ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이번시즌이 제일 재밌어,Austria,2024-06-30 23:38:05
1,,좆밥들끼리 뭐하노 ㅋㅋㅋ,China,2024-04-21 17:37:27
1,,19랩에 멈췄는데 언제까지 세카하노 ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ ㄹㅇ,China,2024-04-21 16:48:15
2,,가슬리견 너무 두렵다 씨발;;,Austria,2024-06-30 22:47:59
1,,이번에 유입한 레드불팬인데 오늘 막스 좀 실망했음 본인이 막아놓고 인정 못하는거 좀 추하더라 스포츠맨십이 없는거 같음 인성은 최하위권이라고 멜세 티포시팬들이 그럴때 못이겨서 그런소리 하는거라고 생각했는데 직접 확인하니까 실망스럽네,Austria,2024-06-30 23:55:29
3,,막판에 확 재밌어지네 ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,China,2024-04-21 17:31:09
5,,진짜 알론소 연륜 지리네 이걸 3스탑을 성공하나;;,China,2024-04-21 17:28:12
5,,몽골존나빠르노 ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ,Austria,2024-06-30 22:04:24
0,,오콘 패널티 먹어야겠지 ㅋㅋㅋㅋㅋㅋㅋ - 天上天下 唯我獨尊의 호로고아 씨부랄 JOAT 알핀 F1팀,China,2024-04-21 16:08:23
0,,이 병신년은 걍 인간 저주임,Austria,2024-06-30 23:59:12
1,,체코는 뭐하노 시발,Austria,2024-06-30 23:28:33
5,,르끌 키미행동 뭐노 ㅋㅋㅋ,China,2024-04-21 17:03:36
1,,비 왜 안내리냐고 스프린트 퀄리때 내린 비가 오늘 왔어야해,China,2024-04-21 17:29:33
3,,데브리에 타이어 터지면 개꿀잼일텐데 ㅋㅋ,China,2024-04-21 17:43:10
3,,토토 실실쪼갸네 ㅋㅋㅌㅌ ㅋㅋㅋ,Austria,2024-06-30 23:25:50
5,,1.9 뭔데 ㄷㄷ 오매,China,2024-04-21 16:44:51
3,,서로 한번씩 담구노 ㅋㅋㅋㅋ 쥬지 사인지 싱글벙글행ㅋㅋㅋㅋㅋㅋ,Austria,2024-06-30 23:19:07
3,,대황끌ㅋㅋㅋㅋ 캬ㅑㅑ,China,2024-04-21 16:18:23
3,,그냥 눈물이 나오는 물탕이면 개추ㅋㅋ ㅋㅋㅋ,Austria,2024-06-30 23:44:27
3,,간만에 포듐!!!,Austria,2024-06-30 23:42:35
5,,세카 오늘 자주본다?,China,2024-04-21 16:55:15
2,,제발펑쳐제발펑쳐,China,2024-04-21 17:43:01
5,,점마는 왜 특별석이고ㅋㅋ,China,2024-04-21 17:49:49
4,,도련님이ㅅㅂ...이... 알국왕 앞에서 개고생하고 계시는데 님...........,China,2024-04-21 16:54:59
5,,틀딱 패랩ㅋㅋㅋㅋ ㅋㅋㅋㅋ,Austria,2024-06-30 23:29:11
0,,몽골은 2019 사건떄문에 자신이있는거임 레드불링에서는 저래도 봐주니까 again 2019 해버린거지 시발새끼 ㅋㅋㅋ,Austria,2024-06-30 23:41:36
1,,르끌은 왜케 못따라가노,China,2024-04-21 17:08:49
